at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
1000699.672,3895.815,94934.41,7655.53,8539.81,5365.155,12.05,13.72,9.22,11
1428935,1430.096,9815,24434,26258,12860,102.75,109.68,92.26,11
957592.852,6046.955,73105.556,9408.538,10966.032,4687.052,6.44,7.31,4.33,11
121442.679,250.894,36153.187,3705.827,6214.209,2813.133,83.41,85.75,68.58,11
17295,497.46,2929,893,1610,1564,71.6,73.22,46.84,11
1415290,1811.9,10787,18521,19926,11668,72.83,77.96,67.12,11
454214,1296.38,7719,2964,3434,783,38.09,46.5,31.845,11
7735,589,3538,641,872,3887,25.52,26.71,17.5,14
1104407.889,17513.139,153495.311,12916.873,16439.777,3873.87,3.31,3.58,2.3,11
616.641,43.296,241.035,33.464,52.784,20.215,8.03,8.82,3.41,14
7498.128,80.983,742.69,124.906,280.047,485.327,52.79,88.85,51,14
80.656,15.373,5.672,0.595,1.997,-0.055,2.18,3.1,1.28,14
655.058,20.445,396.241,49.302,49.302,19.214,10.86,13.38,9.5,14
,20.058,,,,,17.53,18.9,15.9282,11
89115,1478.912,63226,13855,15872,7882,88.54,92.3,62.66,11
933.619,56.43,300.257,285.562,291.795,156.536,32.32,32.585,21.21,11
6142,114.809,3114.2,67,,41.4,65.43,79.73,48.9363,14
884.934,43.806,381.354,27.06,32.629,9.234,13.23,14.26,8.66,11
538.188,13.377,352.478,34.927,35.122,9.553,11.17,12.81,10.51,14
648.513,19.132,366.029,38.319,38.319,26.438,14.23,15.3,12.65,11
1885.935,172.44,12.326,142.602,167.502,203.865,56.04,57.31,35.6,14
12346.453,443.971,7954.6,995.231,1478.486,697.241,19.69,35.75,17.46,11
58589.8,437.74,1326.1,901.2,975.4,520.4,16.9,18.03,13.81,14
489.829,19.703,0.2,36.738,39.996,46.383,61.78,106.8,57.15,14
169051,132.326,3697,983,1043,-351,60.98,63.37,39.165,11
1592.677,58.242,129.312,195.405,255.605,159.498,82.41,83.6015,31.25,14
797.182,52.946,0.913,67.524,85.92,59.475,65.26,79.83,50.6,14
842.253,37.46,578.539,66.928,102.853,27.525,27.61,27.8,15.5,11
4232.418,393.754,1006.745,570.175,694.117,394.612,19.29,24.5,16,11
12680.7,60.435,2716.1,1262,1771.9,753.6,137.2,160,105.1,11
37124.608,581.914,4590.919,3532.04,7501.64,2734.91,83.76,107.89,64.33,11
,28.091,,,,,10.65,10.75,9.13,11
1693.351,38.986,521.992,135.676,215.817,80.925,36.53,40.13,22.1,11
,22.915,,,,,15.35,15.48,13.7,11
412.721,55.64,187.355,6.193,30.622,-14.647,6.78,11.15,5.34,14
,47.007,,,,,11.94,12.33,9.55,11
8947.653,53.624,75.048,217.982,221.934,149.243,37.68,38.56,29.17,14
1853.8,719.852,70,-12.1,,214,6.467,7.861,5.708,19
,59.708,,,,,7.62,7.73,6.31,12
,45.112,,,,,8.42,8.45,7.3249,11
46799,572.943,9412,2006,3850,992,47.91,56,44.8834,11
612.016,133.883,146.51,63.367,88.58,43.493,19.14,21.58,6.71,14
631.224,20.546,298.924,44.664,44.664,30.841,13.7,15,12.64,14
1029.169,60.835,417.218,39.188,42.279,30.492,7.7,8.18,5.54,14
3543.5,89.703,1813.5,97.4,394.2,-6.6,32.87,33.01,23.02,11
5245.686,105.851,1800.219,377.165,382.465,254.652,21.86,28,15.65,11
,46.91,,,,,13.91,14,12.38,11
3184.275,14.998,35.967,65.213,70.716,37.475,37.8,38.3095,29.5728,14
377.626,20.472,39.413,1.723,2.719,-0.386,1.97,3.06,1.46,14
1153.858,9.042,14.846,38.398,40.155,13.884,21.99,27.58,16.5,14
5263.259,20.126,205.622,103.508,115.707,59.206,41.24,41.405,33.1,14
2053.122,53.934,1504.638,-20.923,,-105.391,12.34,13.28,8.35,11
6012.672,28.289,129.179,110.017,118.616,58.322,29.58,30.82,24.02,11
398.698,28.241,0,8.169,21.565,9.958,17.72,18.99,9.95,14
1923.161,28.778,40,58.365,58.647,47.152,14.82,15.4324,12.42,14
1923.161,28.778,40,58.365,58.647,47.152,14.82,15.4324,12.42,14
53.248,1.599,4.218,-9.025,-8.633,-2.613,12.35,41.9973,7.6,12
11112,288.413,552,1450,1604,3039,107.51,108.92,77.2,14
2513.172,124.351,773.181,-141.422,-18.245,-213.833,6.25,10.64,4.49,14
419.268,39.899,17.838,-85.758,-84.194,-77.677,15.83,17.63,6.71,14
5492.424,5.568,201.728,54.197,57.432,39.699,89.96,95.7,67.87,14
1744.936,50.23,1.13,0.245,3.468,-1.37,6.75,7.8,6.08,11
6143.639,29.601,81.402,148.379,160.413,92.046,39.91,41.34,31.215,14
5018.756,16.303,4.056,152.665,157.668,89.352,81.95,83.07,66.63,14
11410.295,51.794,134.778,289.373,321.598,169.063,70.94,71.61,56.581,11
,40.927,,,,,15.02,15.02,12.84,11
12611.266,217.359,783.409,364.011,384.689,167.377,10.59,11.94,8.3,11
13683.999,92.29,219.757,349.794,376.871,210.544,45.99,46.51,37.58,14
12457.254,55.368,469.808,251.326,260.709,164.46,41.59,42.48,33,14
604.8,43.089,212.255,-99.81,-79.402,-146.427,14.2,24.69,10.87,14
657.902,23.692,545.314,30.292,,6.249,3.23,3.64,2.84,11
651.858,12.274,168.171,51.814,63.656,29.614,19.29,46.6,15.95,14
11395.165,34.377,256.429,298.722,318.161,165.175,83.25,87.644,62.33,14
3564.694,22.482,82.761,88.866,88.866,46.435,22.65,23.93,18.94,14
11.67,164.701,0.682,-22.072,-21.652,-21.899,0.2177,0.7085,0.19,12
2590.346,2.136,37.015,58.872,59.524,38.927,210.2,212.59,163,14
8.406,3.85,0,-5.954,-4.924,-4.281,0.7782,4,0.6601,14
9297.661,51.399,173.446,184.908,194.591,53.841,23.61,24.95,16.12,11
1154.882,5.912,19.266,29.818,32.118,14.067,32.85,34.32,22.09,14
31421,316.473,9244,1653,2190,494,48.14,48.8,35.43,14
31421,316.473,9244,1653,2190,494,48.14,48.8,35.43,14
31421,316.473,9244,1653,2190,494,48.14,48.8,35.43,14
75.366,16.347,1.485,-15.193,-10.612,-15.095,7.46,11.73,6.43,14
5889.157,55.358,420.129,401.104,429.404,320.087,48.73,65.22,46.6901,11
153.934,2.531,14.091,5.745,5.869,4.067,15.3,15.61,10.01,14
12553.447,3.636,1.146,168.456,179.726,131.616,290.88,314.25,241.81,14
20411.667,169.616,2166.032,393.603,437.233,238.206,18.29,18.74,15.18,14
235.262,150.136,106.143,-70.74,-66.712,-104.133,5.105,6.125,1.76,14
,7.182,,,,,6.4501,7,4.9405,11
4354.165,20.652,88.381,114.834,114.834,53.695,34.66,34.94,29.76,14
8797.15,59.461,578.103,351.28,369.98,271.623,65.19,81.3499,58.06,14
71004.903,51.656,566.834,1982.124,2064.841,1136.856,251.04,259.95,183.04,14
1054.303,14.865,7.243,27.993,31.191,12.396,42.08,42.6,33.37,11
12256.302,51.567,442.637,344.021,370.986,148.809,43.99,46.05,37.19,14
16474.91,78.841,1300,373.671,373.671,210.256,36.65,38.26,25.47,14
30389.344,92.027,1148.762,599.951,644.776,382.723,53.36,58.25,42.29,11
15720.112,67.824,559.56,278.062,290.625,158.873,37.79,43.13,33.19,14
1720.253,7.079,49.798,37.628,40.324,23.721,37.82,41,32.29,14
4.037,3.839,0,-8.398,-8.382,-8.048,0.6897,6.291,0.402,14
1334.444,18.118,35.993,21.331,30.949,10.894,5.85,6.127,4.6,14
7108.511,51.514,101.183,169.049,181.296,98.739,30.57,31.42,22.35,14
68.951,138.363,0.674,-21.705,-20.28,-26.559,1.1,2.88,0.7004,12
14511.625,98.491,374.594,307.858,335.996,198.075,25.44,28.59,22.07,14
92.816,20.825,0.55,1.059,2.856,-1.657,16.18,22.44,10.9,14
,62.196,,,,,7.99,8.74,6.98,11
2589.482,54.197,812.246,220.554,600.874,58.729,30.15,30.93,15.42,11
6725.623,14.891,301.957,139.066,150.783,81.718,91.5,91.93,71.54,12
5221.322,96.922,56.553,99.921,103.875,57.84,8.67,9.1,6.7737,14
19662.324,101.554,1408.637,446.026,446.026,260.099,38.66,40.7,30.67,14
3013.472,25.016,15.851,16.879,28.07,14.82,43.73,56.21,40.86,14
1171.184,17.058,59.433,18.606,20.479,6.028,4.2,4.3,3.92,14
893.137,12.852,367.427,32.625,58.441,23.756,50.45,85.6,44.58,14
,27.771,,,,,7.36,7.41,5.72,14
7223.076,667.507,1713.061,525.366,1082.277,4.438,9.93,10.09,2.64,11
10204.017,78.515,1406.2,741.423,756.441,392.965,34.04,34.74,20.22,11
,13.097,,,,,13.88,13.99,12.36,11
560.368,9.292,144.606,25.106,35.909,14.925,37.21,40.97,33.135,14
36.385,3.466,3.448,-67.532,-66.899,-70.085,2.81,33.4,1.99,14
2478.55,11.072,40.915,52.947,56.409,20.906,39.57,41.5,29.19,14
42.293,6.81,5.193,-17.437,-9.785,-12.408,1.38,7.4,1.2301,14
1874.253,55.827,751.021,32.611,108.784,-16.706,13.47,13.99,8.81,11
404.129,79.055,160.263,14.62,25.929,5.682,1.25,2.94,1.0205,14
4921.52,19.837,124.897,86.234,91.274,51.691,33.53,34.25,25.18,14
14958.207,42.95,285.553,340.26,364.923,192.736,55.44,63.16,44.99,14
1738.007,32.694,913.17,127.671,218.12,58.957,19.81,20.53,17.52,11
24.569,2.236,0.455,-17.705,-17.522,-17.736,6.56,18.6,3.44,14
119.376,61.59,0.196,-45.232,-44.668,-112.576,2.03,4.4,1.25,14
3763.659,15.248,281.014,72.56,78.523,40.081,32.68,33.78,22.87,14
169.593,32.995,39.371,-15.011,-8.221,-19.293,35.07,35.84,13.04,11
111643,511.802,50472,3712,4053,884,18.28,21.22,15.89,14
3896.162,14.822,103.122,29.413,33.006,14.806,34.33,35.49,25.94,11
1898.467,11.206,74.62,27.676,30.621,16.196,22.24,25,19.0305,14
1804.897,56.278,999.723,61.426,,24.234,18.35,19.03,13.68,11
9100.109,300.743,2816.699,236.66,,141.039,26.21,27.14,19.33,11
445.013,5.53,13.209,11.453,11.683,7.318,18.78,20.81,17.32,14
127.091,59.318,84.501,-41.424,-38.166,-48.279,4,6.3125,2.34,14
492.787,39.312,203.98,49.129,61.662,-3.367,14.85,15.34,11.34,14
7765.81,29.356,23.644,101.244,104.89,60.193,26.12,26.22,18.9499,14
855.624,3.197,27.15,15.325,16.42,6.885,28.5,29,19.77,19
1886.545,9.756,49.742,35.721,38.366,18.647,23.03,23.6,18.7143,14
6174.032,35.072,245.627,123.06,127.521,73.395,25.72,26.5,18.34,14
21.915,86.92,1.118,-16.658,-15.968,-12.132,0.391,2.55,0.3501,14
9.152,8.877,0.707,-7.817,-7.094,-7.783,4.69,12.4,2.76,14
2387.274,66.338,1305.824,98.044,,81.564,32.18,32.91,18.92,11
419.574,2.861,0.647,9.011,9.364,4.736,20.4,23.97,19.95,19
113.201,93.607,9.648,-16.225,-13.707,0.999,1.05,1.8099,0.68,11
424.589,97.783,55.222,-177.142,-176.302,-170.295,24.6,25,5.81,14
146.867,28.077,9.794,5.111,11.447,3.482,9.04,13.83,8.01,11
4715,161.402,2418,736,849,452,40.22,47.1301,35.35,14
313.526,360.251,121.667,-25.6,-23.208,-15.532,1.67,2.64,1.455,12
,18.382,,,,,14.59,15.0491,11.91,11
,101.393,,,,,19.76,20.79,17.25,11
1489.109,12.456,0,38.558,38.558,22.256,10.85,12.14,9.68,11
86921,856.905,39065,6342,12958,3468,78.42,85.22,62.5492,14
3577.26,10.588,61.491,91.62,91.62,54.641,73.85,75.99,48.3,14
1787.827,4.857,12.169,33.23,36.951,15.609,42.5,51,38.56,14
44863.454,415.521,7758.668,1598.541,,563.296,16.11,17.34,13.63,11
16.88,1.976,2.688,-0.864,-0.192,-0.814,5.35,9.2,5.05,14
140.06,5.946,71.827,6.984,6.984,-1.206,8.77,11.65,8.68,14
1312.3,62.093,41.265,116.482,137.807,77.826,19.36,25.2499,12.925,14
25.957,33.786,1.663,-19.396,-19.163,-20.018,0.475,1.8,0.35,14
23251,192.3,11941,852,2054,191,154.51,164.13,107.79,11
578.483,77.925,277.843,-230.909,-227.909,-290.663,23.88,37.95,17.9,14
6961,228.299,3534,495,615,923,61.64,62.9,41.505,11
2722.983,117.544,1628.346,218.56,340.04,149.629,19.35,25.32,16.46,14
6561.3,828.633,1448.6,734,1355.7,161.6,6.6,6.83,3.46,11
994.165,225.511,24.969,-50.315,42.485,-235.329,5.17,6.89,3.98,11
606.829,3.512,25,7.965,8.841,3.486,15.1,19.0944,13.97,14
4695.212,137.867,2423.916,311.967,599.246,66.209,13.4,15.1,6.63,11
1727.424,55.368,170.812,-812.079,-794.645,-789.608,87.75,163.425,71.42,14
2499.967,33.067,981.878,154.147,167.529,112.994,27.35,34.57,16.91,11
259.754,36.298,109.319,-80.929,-76.01,-40.696,27.82,34.78,14.56,14
14431.6,194.564,9960.8,424.4,1161.3,-929.5,14.19,27,9.52,14
1654.145,13.716,55.195,40.798,42.547,19.504,28.25,29.25,22.52,14
,60.766,,,,,23.59,24.4,19.7,11
,19.162,,,,,26.76,26.83,20.29,11
3341.29,58.843,80.121,27.705,34.187,-3.5,4.18,6.73,3.8601,14
15711,585.21,1004,547,1206,155,14.14,14.655,11.12,14
15711,585.21,1004,547,1206,155,14.14,14.655,11.12,14
,16.57,,,,,13.9,13.99,12.07,11
378.519,44.134,265.792,5.961,28.047,1.647,5.54,9.04,4.45,14
34615,325.015,1346.2,624.236,680.236,387.249,12.7,12.93,9.69,11
256.85,46.917,24.046,-11.201,-9.525,-9.007,8.81,10.66,2.7,11
3638.622,113.793,861.452,74.579,,61.979,45.67,48.8,28.45,11
2956.552,16.661,164.989,11.47,11.47,-42.793,14.59,18.9467,11.81,11
10338.9,84.106,4811.4,282.9,1234,-996.5,3.49,27.3273,1.43,19
50.093,27.651,1.786,-22.411,-20.373,-16.49,2.01,3.44,1.67,14
41.117,24.849,1.638,-2.046,-1.106,-4.709,2.12,4.1994,2.03,19
11.388,11.585,0.152,-3.469,-3.17,-6.934,1.53,4,0.2803,14
4346.581,189.975,1672.265,110.899,,74.483,18.94,19.34,15.2,11
890.741,68.401,106.747,-426.333,-418.246,-411.472,47.75,68.94,28.36,14
21.827,33.17,0,-9.306,-9.233,-11.385,0.4,3.08,0.25,14
214.447,27.498,128.417,-93.101,-92.782,-97.165,59.63,60.16,33.13,14
603.189,20.097,307.075,-7.15,1.807,-8.037,4.66,7.38,3.46,11
23.674,111.167,0,-19.856,-19.842,-21.503,0.383,4.8258,0.1027,14
6.396,24.432,0,-7.155,-7.155,-7.126,1.62,3.26,0.5001,14
1009.927,3.782,21.842,20.438,21.938,11.576,62.21,70,53.25,14
9756.534,113.369,797.914,450.89,551.879,348.069,22.1,26.725,20.08,14
456.789,12.09,176.1,22.21,66.822,6.094,61.67,86.96,44.4,14
15.606,45.586,0,-14.378,-13.367,-14.827,1.27,4.3,1.03,14
142.215,4.3,11.125,11.119,26.747,-25.186,3.04,6.6,1.42,19
235.435,21.218,63.718,-20.956,-20.145,-15.44,1.5,4.44,0.33,12
8308.773,98.312,286.417,184.124,194.494,105.333,14.51,14.93,11.9,11
,7.606,,,,,16,16.04,14.12,11
,6.9,,,,,21.12,21.68,15.95,11
1537.295,13.902,38.173,27.414,28.442,15.828,17.47,19.64,15.93,14
72.717,139.526,23.117,-22.327,-19.978,-37.175,1.01,1.92,1,14
4023.25,13.742,21.987,89.907,94.733,48.872,45.72,46.93,37.41,14
772.438,33.098,385.953,16.168,53.294,-22.861,9.05,9.79,4.51,11
20.145,36.181,3.136,-2.881,-1.477,-2.889,0.3012,1.99,0.25,12
9700,113.342,5183,227,623,-11,19.95,20.43,12.12,11
9700,113.342,5183,227,623,-11,19.95,20.43,12.12,11
48933.529,339.202,36305.783,2686.072,4674.624,994.37,23.37,27.75,17.29,11
4097.843,23.935,269.942,57.654,61.732,41.555,25.08,25.53,17.53,14
11288,220,4725,751,1113,385,41.89,43.1,30.98,11
455.763,163.275,210.17,-173.402,-153.613,-322.324,5.48,9.1,3.95,14
609.316,38.559,79.584,117.365,134.97,93.033,69.57,86.91,54.21,14
494.3,19.8,129.5,107.1,134.7,49.6,17.35,25.62,14.87,11
623.334,29.467,137.057,35.668,35.668,6.974,8.19,8.81,7.54,14
9695.729,54.789,263.382,205.519,229.655,102.953,27.5,28,23.44,14
839.35,113.452,203.323,55.705,95.553,-18.36,7.7,8.18,3.65,12
1442.027,7.11,104.168,27.407,30.522,13.129,24.09,24.8,15.4544,14
8142.496,297.857,4905.892,413.951,,274.773,21.61,22.74,14.11,11
1269.157,4.353,5.161,30.394,31.764,16.115,38.69,39.56,26.83,14
4708.873,24.778,72.468,100.244,113.234,62.74,43.23,43.85,29.25,14
35.866,9.675,6.944,-13.282,-11.682,-16.908,2.95,6.65,2.51,14
19.658,37.649,3.814,-12.9,-12.885,-13.007,0.3849,3.45,0.32,14
,20.34,,,,,15.78,16.08,14.13,11
224.142,35.22,45.532,-135.323,-130.01,-137.202,4.59,13.84,3.18,14
2356.878,17.05,67.633,68.44,77.208,29.54,22.85,24,18.7,14
3439.694,94.225,114.089,200.389,200.389,200.619,10.52,11.95,9.07,11
15197.569,295.941,6342.546,-941.804,1277.269,-340.129,2.85,11.03,1.86,11
29969,182.139,9574,2018,2622,331,18.95,25.82,16.99,14
387.101,28.509,398.086,-2.489,19.711,-81.608,0.3723,2.6773,0.1544,19
2890.486,216.089,963.754,-199.172,-107.029,-257.409,16.53,18.66,12.66,14
25.048,30.049,9.78,2.578,3.414,-11.789,0.4501,1.4,0.2529,14
1664.106,91.071,980.613,50.213,51.812,45.896,14.08,15.89,8.92,11
2687.2,30.46,1117.8,268.3,422.6,154.8,117,121.2365,72.07,11
5.266,2.1,0.082,-3.116,-3.006,-3.928,2.3,10.1,1.82,14
504.906,53.124,20.201,-136.445,-132.504,-124.858,53.02,54,37.01,14
5246.829,44.976,332.096,114.801,124.489,66.538,19,19.48,15.2075,14
55.11,16.651,4.243,-8.562,-6.648,-8.408,1.66,2.52,1.25,14
1488.998,121.584,914.816,20.392,50.639,-9.605,37.91,48.22,27.58,11
331.683,32.789,276.521,-23.471,-1.12,-45.515,21.94,60.66,19.25,14
302.274,75.73,25.235,-100.727,-98.534,-98.149,19.57,22.82,11.7,14
466.825,20.14,101.676,-37.89,-13.876,-66.049,11.88,18.04,8.34,14
130.187,49.627,0,-61.272,-61.11,-58.859,8.58,8.97,0.9059,14
3223.533,58.228,1517.417,45.025,,31.291,54.27,55.13,35.08,11
542.352,17.838,278.992,70.149,92.472,25.04,38.49,44.16,24.67,11
2569.567,61.938,6.003,381.668,521.832,109.12,37.88,42,27.37,14
687.764,36.964,92.112,81.455,120.294,54.015,106.05,112.33,50.91,11
1666.115,25.359,696.204,227.538,228.181,178.608,70.65,88.995,44.196,14
1450.747,86.94,415.405,-29.399,8.471,-53.607,168.67,177.99,77.4,11
39770.957,592.25,13573.415,5240.78,5737.663,4015.728,168.42,176.22,137.88,11
17.898,13.068,0,-15.514,-15.51,-15.135,0.9822,8.4,0.63,14
312.501,48.959,27.553,-177.185,-164.879,-151.811,10.88,32.32,7.425,14
74.779,20.691,1.4,-84.333,-71.866,-154.201,1.47,43.29,1.35,12
5593.859,65.93,3323.723,614.445,828.145,465.116,228.03,230.7011,136.3,11
7173,98.2,2978,-33,285,-31,26.755,28.5,18.14,14
4711,58,2023,418,549,226,87.02,92.49,60.88,11
2271.777,149.096,44.815,287.519,307.378,301.118,140.66,176.9,82.41,11
1321.537,5.464,9.294,23.473,27.201,14.327,30.14,30.9,22.7701,14
2664.588,114.899,669.134,117.266,193.19,-27.46,74.89,102.47,62.05,14
4946.745,25.444,5.1,130.101,136.559,87.047,48.93,50,39.78,14
11.282,4.826,0,-5.608,-5.608,-4.183,1.32,4.25,1.0326,14
3873.425,98.394,236.789,669.212,672.981,555.713,51.99,55.84,33.37,11
69.918,24.18,11.071,-15.322,-10.596,-15.674,2.05,2.4495,1.52,14
452.608,46.465,200.753,-187.492,-182.354,-199.581,24.17,50.1,17.15,14
1790.384,62.294,118.757,166.596,252.123,90.745,17.33,30.85,15.901,14
,7.419,,,,,15.17,15.99,14.28,11
427.337,16.204,253.554,30.164,30.164,-27.647,8.73,9.99,6.83,14
,33.689,,,,,6.34,8.99,5.7,11
8434.298,214.694,5706.63,731.179,,390.881,43.05,43.22,31.63,14
,10.482,,,,,11.69,11.72,8.68,11
332.879,23.638,206.726,-4.453,17.65,-23.992,4.22,9.42,3.1,14
1166.814,48.317,634.769,43.118,81.756,14.487,4.22,9.5,3.57,11
3931.834,296.656,1693.943,165.965,,84.29,13.92,16.04,12.25,17
3931.834,296.656,1693.943,165.965,,84.29,13.92,16.04,12.25,17
3931.834,296.656,1693.943,165.965,,84.29,13.92,16.04,12.25,17
1099.667,51.526,424.178,-77.765,-61.051,-86.414,122.38,155.75,84.84,14
12703.389,779.619,3118.25,366.156,831.705,1465.659,32.05,45.855,27.87,11
96.452,65.274,0.83,-8.779,-6.395,-9.528,11.33,12.55,7,14
167.97,43.467,2.818,-61.389,-61.11,-57.892,5.29,13.56,2.64,14
3665.89,147.07,2729.113,12.951,220.186,-361.917,4.82,15.28,2.27,11
32.441,11.255,0.049,-3.653,-3.055,-4.093,0.499,1.38,0.35,12
108.1,8.775,0,,,,6.86,9.11,5.35,19
326.11,59.396,14.063,-16.722,-10.65,-24.753,59.61,74.81,32,14
46.994,94.214,7.804,-26.472,-25.91,-24.871,0.8409,2,0.429,14
989.187,35.49,607.672,59.916,90.596,3.613,2.1105,4.445,1.15,11
294.963,65.37,196.647,-189.275,-188.301,-199.59,19.17,20,3.92,14
670.25,56.902,8.565,13.824,18.122,26.875,34.39,46.33,27.75,14
275.212,49.625,12.2,-13.627,-9.51,-12.599,27.92,31.18,11.7,14
206.585,28.604,143.504,6.779,12.183,20.831,3.64,4,2.4,14
235.252,26.42,7.742,-5.013,-3.26,-1.809,16.6,18.6,12.31,14
709.034,39.153,63.155,96.625,104.642,76.93,37.25,43.5,27.8425,11
110.459,23.313,110.686,25.746,34.146,-18.63,18.33,19,5.5301,14
6227.516,149.639,19.899,409.664,467.063,1188.886,64.73,74.17,47.195,11
2.526,16.192,0,-0.53,-0.53,0.3,2.11,5.1,1,14
99.925,43,4.549,-48.045,-39.229,-93.533,8.6,15.88,7.3,11
318.312,30.583,57.04,-75.987,-69.666,-78.764,77.71,80,48.67,14
3376.24,37.489,2037.748,133.046,192.978,-60.591,14.74,16.12,7.12,11
1758.947,32.885,617.104,20.827,21.206,0.371,8.93,14.03,7.895,11
9715.925,43.797,177.73,219.634,232.71,121.021,40.56,41.5,34.0859,14
164.703,6.559,17.7,11.522,11.522,12.605,22.3,23.92,19.12,14
17.733,54.738,0.973,-23.057,-22.125,-25.138,0.286,3.72,0.2275,14
2605.225,7.375,250.774,98.015,99.076,43.167,43.9,44.25,37.65,19
425.627,30.42,141.394,-72.229,-22.385,-59.854,2.97,5.9972,2.47,14
1013.272,4.787,36.222,22.15,23.607,9.907,39.62,41.5,29.72,14
114.024,39.204,21.879,-62.567,-60.687,-61.389,8.48,12.16,5.96,14
1135.496,57.838,345.126,-424.173,-415.634,-402.727,42.71,74.5,35.41,14
2635.545,29.932,111.977,71.928,74.929,39.455,13.47,14.8,11.24,14
78669.495,2106.716,32005.772,3158.945,8687.939,1027.919,6.246,6.446,4.87,19
232.959,46.72,3.352,-111.679,-111.481,-106.373,16.11,27.55,12.83,14
1665.323,7.041,122.757,27.528,30.743,15.672,35.56,36.27,23.2267,14
4030.596,179.483,2649.426,334.573,531.973,165.138,14.86,19.73,12.88,14
862.457,37.059,401.942,28.252,53.74,-118.285,7.905,13.5,6.92,14
705.362,7.031,91.859,-0.544,2.263,2.225,8.27,15.15,7.72,14
362.302,11.681,138.891,1.972,11.454,30.396,17.31,27.63,9.1,11
157.342,12.068,77.713,23.65,29.187,16.014,9.2,10.14,5.5101,11
18.287,6.531,0,10.708,11.34,15.084,48,54.5,32,19
11.114,5.227,0,-7.734,-7.562,-7.642,1.28,8.85,1,14
67.511,9.087,0,-6.361,-5.258,5.21,14.06,16.08,10.02,14
4366.003,17.793,73.419,110.863,116.378,64.54,46.64,47.54,38.0292,14
227.712,84.681,20.903,10.129,25.053,-5.702,4.25,9.3,3.97,14
12266,435.201,4000,655,1088,396,10.03,16.49,8.82,11
447.339,22.031,4.702,21.383,35.217,20.95,68.33,155.75,41.1868,14
2340.697,23.499,1334.182,46.927,,36.743,12.05,12.655,8.77,12
2751.093,118.927,3.313,396.107,413.14,459.567,80.01,117.99,65.46,11
433.571,4.993,61.968,34.993,48.793,23.303,60.35,76.6,45.12,14
8558.377,16.346,221.982,194.686,206.16,102.7,102.38,105.52,84.6,12
21259.143,113.629,473.414,452.728,488.985,238.167,26.79,27.87,22.08,14
451.314,20.853,113.633,103.649,118.309,66.066,40.95,47.95,24.79,14
460.387,57.095,407.529,73.803,90.089,117.41,19.88,23.88,15.88,14
2565.137,48.01,645.834,247.025,285.325,143.837,33.5,43.98,18.18,14
251.186,55.507,19.955,-154.012,-153.535,-147.722,34.31,43.56,6.75,14
52.611,27.453,18.802,-38.989,-37.892,-38.95,2.07,11.28,1.99,14
5015.072,14.261,108.797,104.133,115.758,73.612,63.32,64.48,45.44,14
112.225,8.048,17.931,5.94,10.377,3.576,9.38,10.14,7.87,14
126.645,16.339,35.425,-70.244,-52.047,-40.745,11.21,16.97,10.5,11
,48.489,,,,,17.99,18.45,13.76,11
6669.152,107.51,2714.485,374.997,,122.645,18.04,18.82,15.235,11
114.365,106.801,0,-36.871,-36.652,-107.5,1.04,2.6,0.6609,14
28.531,35.15,0.537,-2.303,-2.205,-48.169,0.4955,5.28,0.3861,14
597.409,71.573,20.141,-128.186,-126.932,-120.459,22.03,27.68,9.39,14
340.287,52.375,25.87,-164.459,-161.55,-159.429,16.23,20.83,9.88,14
3236.922,84.917,1275.877,65.215,234.238,225.108,19.54,20.23,13.87,11
5382.3,143.6,3507.2,305.6,454.4,140.1,26.82,28.415,17.46,11
217.56,38.361,201.198,-136.271,-135.212,-149.773,20.7,22.98,8.76,14
1099.479,30.016,578.413,124.796,188.167,68.159,68.87,76.6,32.79,11
5708.3,52.772,1314.064,295.258,475.653,186.749,93.57,96.66,75.82,11
1654.6,91.702,188.8,92.8,147.2,49.1,21.15,22.79,12.2,11
805.692,51.178,403.403,-20.916,62.54,-60.832,2.58,5.1,1.33,14
1102.553,29.953,462.829,26.597,,13.886,6.78,7.22,4.5,11
63.454,6.066,0,2.603,,0.311,5.52,6.1,3.96,14
137.471,23.865,15.996,-79.015,-77.351,-78.166,9.225,17.83,5.36,14
87802,1621.134,13093,11343,16110,8010,59.36,64.02,46.32,11
8764.649,39.56,142.172,179.429,179.429,98.234,40.29,42.02,33.3,14
4020.102,128.991,1937.297,77.417,181.399,-119.842,6.38,14.11,5.845,11
682.278,36.064,105.704,40.875,104.914,-5.069,13.16,13.86,7,14
1113.629,32.382,418.498,46.794,77.93,19.29,16.8,19.29,7.15,14
1518.861,95.103,554.624,72.707,,46.359,20.63,25.54,17.71,14
205.727,68.882,1.743,-103.075,-102.503,-102.808,1.96,14,1.29,14
131.351,14.488,1.28,13.943,19.14,17.944,9.45,19,7.9,14
64.791,14.655,10.787,-0.026,0.011,-2.29,2.6831,3.6,2.14,14
2982.341,88.757,1681.673,374.004,429.103,-30.745,12.62,18.85,10.89,11
5689.957,273.733,3311.791,372.454,747.631,158.592,22.44,25.44,19.405,14
489584,1383.077,101621,22703,37623,19295,140.54,145.41,114.29,11
9.495,5.734,0.733,-0.15,-0.14,-0.305,0.745,2.93,0.65,14
17562.99,80.001,1113.547,370.261,410.237,193.528,37.55,40.2,27.8,14
147.023,37.997,0.593,-24.443,-24.103,-69.442,12.32,13.43,2.14,14
