at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
817729,2437.437,98830,105481,115545,81417,226.5,228.23,191.04,11
817729,2437.437,98830,105481,115545,81417,226.5,228.23,191.04,11
15591,256.494,3395,2053,2865,1541,87.8,89.5,50.94,11
8008.859,29.926,189.597,255.36,389.598,1758.675,370.03,376.43,223.89,11
8008.859,29.926,189.597,255.36,389.598,1758.675,370.03,376.43,223.89,11
7558.457,61.477,3144.281,406.042,615.162,199.31,78.54,82.0058,60.82,11
5112.047,192.475,3158.439,183.083,352.619,-7.526,23.48,29.62,22.79,11
16931.2,198.05,5975.3,-469.4,140.3,-198,6.56,19.56,3.42,11
133625,562.909,20940,5952,7850,-636,325.76,446.01,309.4,11
2311.408,115.12,202.2,620.39,686.015,454.433,63.15,69.08,51.895,11
3626,86.7,505,46,213,-47,4.2,9.66,3.37,11
28.389,5.161,0,3.216,4.199,3.049,15.5,17.48,13.97,12
1157.308,52.997,0,162.428,186.227,131.258,57.26,59.11,42.19,11
323969,1006.196,137100,11409,16320,2807,57.8,58.91,37.4,11
123.456,9.076,12.164,8.827,12.98,6.484,24.79,38,19.1051,14
1551.431,42.058,194.969,0.459,60.379,-54.083,6.66,14.505,3.9602,19
129944,2251,44059,6738,8547,3439,64.19,64.75,42.48,11
37975,605,17142,3020,5619,1746,50.28,51.43,44.51,11
295194,3373.528,64892,15421,33661,4026,37.74,45.38,35.7251,11
5766,478.209,2306,1102,1176,827,67.6,68.99,44.57,11
5766,478.209,2306,1102,1176,827,67.6,68.99,44.57,11
2431.707,40.397,827.423,127.381,192.943,62.819,23.75,32.28,14.3,11
3564.4,79.569,1138.1,494.6,633.3,-131,59.98,62.23,41.02,11
852.67,20.404,36.775,92.309,124.009,50.66,59.45,71.97,42.5,11
4997.006,76.565,1468.583,577.962,813.444,392.334,64.16,73.71,39.3,11
2504,62.4,649.7,249.4,333,-17.2,11.86,15.163,6.39,11
8483.6,265.62,3106,508.6,814,311.4,34.38,36.86,24.64,11
1301.889,65.857,11.449,-172.321,-140.02,-124.511,48.07,63.23,37.3,11
155774,372.531,32358,9020,12637,5104,204.49,207.28,141.95,11
60612,271.413,2980,1174,1242,1000,44.81,50.47,42.28,11
59.369,4.154,0.984,-0.826,-0.41,-0.371,13.05,15.5,9.31,14
38257,773.471,16486,4874,6223,3331,72.36,80.73,60.02,14
643.354,32.472,124.626,61.4,86.019,36.146,30.01,34.29,24.99,11
46.723,6.624,11.377,-4.985,-3.942,-6.328,3.22,4.7525,3.1,14
3004,57.081,1024,351,499,157,47.52,50.58,37.11,11
5086.843,24.88,1618.093,392.867,475.067,265.604,249.99,252.69,139.21,11
495.805,34.322,201.367,-8.234,23.753,-79.304,9.58,14.91,8.99,14
3111.308,48.532,799.682,115.692,204.912,63.116,51.56,57.48,44.6,11
13148,301,7103,1192,1555,211,49.42,49.54,32.035,11
43784,712.3,12245,5624,7186,4216,117.47,127.96,98.47,11
22367,137,8443,3124,3830,2440,331.03,337.91,235,11
27323.2,191.128,11694.4,2699,3023.6,-11.8,189.75,214.48,150.37,11
27323.2,191.128,11694.4,2699,3023.6,-11.8,189.75,214.48,150.37,11
43875.839,1063.834,4058.106,1607.193,3790.95,1151.15,27.35,30.12,25.49,11
40963,299,7579,1678,2664,1363,50.58,56.88,41.03,11
5496,55.693,1403.2,673.6,878.8,472.8,161.84,163.42,98.55,11
57694,,18754,2301,4146,1327,,,,0
3187.8,47.47,550.6,231.2,352.7,167,49.78,56.33,34.4,11
3943.892,36.806,714.502,395.467,646.641,263.846,158.99,179.21,122.86,14
78453,550.083,26742,9624,12201,6093,147.68,148.9299,111.75,11
684.976,24.3,147.184,37.171,52.656,35.897,17.4,19.73,11.85,11
810.431,9.173,23.448,89.907,95.69,75.066,195.38,210,112,14
37.7,9.462,0,4.559,5.122,3.521,6.76,8.89,5.25,14
64742,1090.058,33736,3780,8609,-5269,13.21,16.75,9.64,11
3092.173,24.623,724.542,95.657,227.166,55.902,78.25,81.04,53.26,14
1070.366,41.771,220.851,120.21,162.569,55.042,70.9,93.87,63.47,11
1268.317,15.943,176.656,271.346,316.551,219.923,439.26,445.1,265.08,11
2687379,3084.021,261720,63197,71565,36431,139.4,140.08,95.94,11
1783.198,16.404,450.064,104.836,150.259,65.153,95.83,98.55,77.59,11
38.278,23.256,9.107,-20.566,-20.21,-16.852,1.71,2.63,1.05,14
237428,1882.168,26299,100,29318,2924,120.51,127.34,107.1,11
31.723,0.966,0,0.491,1.873,0.538,25.7972,32.1002,25.01,12
1258.3,37.5,1206.6,202.8,351.4,154.9,42,51.715,36.44,11
6657.4,245.416,1954.2,850.5,1004.7,615.9,70.34,80.99,59.64,11
2551,39.7,1491.1,233.8,320.2,137.5,137.2,138.17,77.3733,14
2653.8,50.421,1975.8,92.8,397.7,-66.6,10.47,11,3.19,11
7669.885,103.415,2662.4,1196.416,1432.321,876.037,269.08,277.85,164.5,14
11021.099,64.553,6612.707,632.428,934.885,11296.689,16.9,19,0.38,14
3503.8,270.084,2113.8,438.5,522.6,292.8,8.4,12.26,6.59,11
5116,125.686,2294,1107,1287,820,153.54,166.9,143.58,11
3126.926,9.374,1145.088,191.331,374.333,11.375,284.05,413.3872,172.5,14
86381,4280,28627,10541,11887,8920,55.35,55.92,44.42,11
