,Title,Source,Datetime,file,path
38,"S&P, Fitch affirms South Africa's sovereign rating, outlook",Reuters,"Fri, May 21, 2021, 11:33 PM",39_article.txt,\yahoo_finance_news\39_article.txt
39,UPDATE 1-White House would back smaller broadband internet boost,Reuters,"Fri, May 21, 2021, 11:27 PM",40_article.txt,\yahoo_finance_news\40_article.txt
40,US STOCKS-U.S. stocks end mixed as Dow recovers on strong economic data,Reuters,"Fri, May 21, 2021, 10:56 PM",41_article.txt,\yahoo_finance_news\41_article.txt
41,Fed’s Daly Says Inflation Pressures Likely to Ease in 2022,Bloomberg,"Fri, May 21, 2021, 10:55 PM",42_article.txt,\yahoo_finance_news\42_article.txt
42,Republicans and White House 'further apart' in infrastructure talks,Reuters,"Fri, May 21, 2021, 10:46 PM",43_article.txt,\yahoo_finance_news\43_article.txt
43,UPDATE 1-U.S. coffee importer sees delay of up to 5 weeks on Colombian cargos,Reuters,"Fri, May 21, 2021, 10:29 PM",44_article.txt,\yahoo_finance_news\44_article.txt
44,CANADA FX DEBT-Canadian dollar up for 8th straight week as speculative buying climbs,Reuters,"Fri, May 21, 2021, 10:28 PM",45_article.txt,\yahoo_finance_news\45_article.txt
45,Canada’s Algoma Steel Is in Talks to Go Public via Legato SPAC,Bloomberg,"Fri, May 21, 2021, 10:27 PM",46_article.txt,\yahoo_finance_news\46_article.txt
46,NYC's pandemic-hit hospitality industry faces labor shortage a year on,Reuters,"Fri, May 21, 2021, 10:20 PM",47_article.txt,\yahoo_finance_news\47_article.txt
47,Annovis’s 127% Surge Showcases Alzheimer’s Drug Enthusiasm,Bloomberg,"Fri, May 21, 2021, 10:10 PM",48_article.txt,\yahoo_finance_news\48_article.txt
48,U.S. Stocks Are Mixed; Bitcoin Resumes Decline: Markets Wrap,Bloomberg,"Fri, May 21, 2021, 10:05 PM",49_article.txt,\yahoo_finance_news\49_article.txt
49,US STOCKS-U.S. stocks end mixed as Dow extends recovery after strong economic data,Reuters,"Fri, May 21, 2021, 10:04 PM",50_article.txt,\yahoo_finance_news\50_article.txt
50,Tesla Records Longest Weekly Losing Streak in Three Years,Bloomberg,"Fri, May 21, 2021, 10:04 PM",51_article.txt,\yahoo_finance_news\51_article.txt
51,"Stock market news live updates: Stocks turn mixed, Wall Street struggles amid inflation fears",Yahoo Finance,"Fri, May 21, 2021, 10:03 PM",52_article.txt,\yahoo_finance_news\52_article.txt
52,Oregon Offers $1 Million; U.S. Enlists Dating Apps: Virus Update,Bloomberg,"Fri, May 21, 2021, 9:55 PM",53_article.txt,\yahoo_finance_news\53_article.txt
53,White House would back smaller broadband internet boost,Reuters,"Fri, May 21, 2021, 9:52 PM",54_article.txt,\yahoo_finance_news\54_article.txt
54,FOREX-Dollar rises on upbeat U.S. manufacturing data,Reuters,"Fri, May 21, 2021, 9:48 PM",55_article.txt,\yahoo_finance_news\55_article.txt
55,Auto data startup Wejo in talks with Virtuoso on SPAC merger - sources,Reuters,"Fri, May 21, 2021, 9:45 PM",56_article.txt,\yahoo_finance_news\56_article.txt
56,Fed’s Tools Showing Signs of Stress Against the Cash Onslaught,Bloomberg,"Fri, May 21, 2021, 9:36 PM",57_article.txt,\yahoo_finance_news\57_article.txt
57,"Speculators increase short dollar bets in latest week -CFTC, Reuters data",Reuters,"Fri, May 21, 2021, 9:31 PM",58_article.txt,\yahoo_finance_news\58_article.txt
58,"EMERGING MARKETS-Mexican peso dips on c.bank shake-up, Chile lags for the week",Reuters,"Fri, May 21, 2021, 9:31 PM",59_article.txt,\yahoo_finance_news\59_article.txt
59,Norwegian fund backs Exxon management in proxy fight with hedge fund,Reuters,"Fri, May 21, 2021, 9:30 PM",60_article.txt,\yahoo_finance_news\60_article.txt
60,UPDATE 2-Millions of AstraZeneca doses head to Mexico under Latin America plan,Reuters,"Fri, May 21, 2021, 9:28 PM",61_article.txt,\yahoo_finance_news\61_article.txt
61,UPDATE 1-Irish data regulator resumes Facebook data transfer probe,Reuters,"Fri, May 21, 2021, 9:28 PM",62_article.txt,\yahoo_finance_news\62_article.txt
62,Congressman: 'Most of my colleagues don't have a deep understanding of cryptocurrencies',Yahoo Finance,"Fri, May 21, 2021, 9:26 PM",63_article.txt,\yahoo_finance_news\63_article.txt
63,Gold Heads for Third Weekly Advance With Inflation in Focus,Bloomberg,"Fri, May 21, 2021, 9:25 PM",64_article.txt,\yahoo_finance_news\64_article.txt
64,UniCredit Stuns Investors by Skipping Coupon Payment,Bloomberg,"Fri, May 21, 2021, 9:23 PM",65_article.txt,\yahoo_finance_news\65_article.txt
65,"Talen Energy Plans Push into Crypto, And Creditors Frown",Bloomberg,"Fri, May 21, 2021, 9:21 PM",66_article.txt,\yahoo_finance_news\66_article.txt
66,Irish data regulator resumes Facebook data transfer probe,Reuters,"Fri, May 21, 2021, 9:08 PM",67_article.txt,\yahoo_finance_news\67_article.txt
67,"Airbus to boost A220 jet's range, newest operator says",Reuters,"Fri, May 21, 2021, 9:06 PM",68_article.txt,\yahoo_finance_news\68_article.txt
68,Apple CEO Tim Cook: The App Store has been an ‘economic miracle’,Yahoo Finance,"Fri, May 21, 2021, 9:04 PM",69_article.txt,\yahoo_finance_news\69_article.txt
69,Goldbelly CEO sees 'omni-channel future' for restaurants after COVID-19,Yahoo Finance,"Fri, May 21, 2021, 9:01 PM",70_article.txt,\yahoo_finance_news\70_article.txt
70,UPDATE 1-Southern delays new Georgia Vogtle 3 nuclear reactor to Q1 2022,Reuters,"Fri, May 21, 2021, 8:59 PM",71_article.txt,\yahoo_finance_news\71_article.txt
71,"White House offers Republicans $1.7 trillion infrastructure plan, down from $2.3 trillion",Yahoo Finance,"Fri, May 21, 2021, 8:58 PM",72_article.txt,\yahoo_finance_news\72_article.txt
72,Hog Prices Hit Seven-Year High on Grilling-Season Pork Demand,Bloomberg,"Fri, May 21, 2021, 8:57 PM",73_article.txt,\yahoo_finance_news\73_article.txt
73,"UPDATE 3-White House pares infrastructure proposal to $1.7 trillion, Republicans balk",Reuters,"Fri, May 21, 2021, 8:54 PM",74_article.txt,\yahoo_finance_news\74_article.txt
74,U.S. coffee importer sees delay of up to 5 weeks on Colombian cargos,Reuters,"Fri, May 21, 2021, 8:52 PM",75_article.txt,\yahoo_finance_news\75_article.txt
75,FBI says Conti ransomware gang has hit 16 U.S. health and emergency networks,Reuters,"Fri, May 21, 2021, 8:51 PM",76_article.txt,\yahoo_finance_news\76_article.txt
76,"UPDATE 1-Magnitude 7.4 quake strikes Qinghai, China -GFZ",Reuters,"Fri, May 21, 2021, 8:50 PM",77_article.txt,\yahoo_finance_news\77_article.txt
77,Argentina sending Mexico material for 4 mln AstraZeneca doses,Reuters,"Fri, May 21, 2021, 8:47 PM",78_article.txt,\yahoo_finance_news\78_article.txt
78,US STOCKS-Stocks mixed as Dow extends recovery after strong U.S. business surveys,Reuters,"Fri, May 21, 2021, 8:45 PM",79_article.txt,\yahoo_finance_news\79_article.txt
79,"White House pares infrastructure proposal to $1.7 trillion, Republicans balk",Reuters,"Fri, May 21, 2021, 8:36 PM",80_article.txt,\yahoo_finance_news\80_article.txt
80,Castillo Halts Fujimori’s Advance in Latest Peru Runoff Poll,Bloomberg,"Fri, May 21, 2021, 8:32 PM",81_article.txt,\yahoo_finance_news\81_article.txt
81,Meat Eaters Hit Hardest as Inflation Sweeps U.S. Grocery Aisles,Bloomberg,"Fri, May 21, 2021, 8:31 PM",82_article.txt,\yahoo_finance_news\82_article.txt
82,White House says no plans to require vaccines for foreign visitors,Reuters,"Fri, May 21, 2021, 8:31 PM",83_article.txt,\yahoo_finance_news\83_article.txt
83,"WRAPUP 1-Fed officials, new data, start lowering expectations for U.S. jobs in May",Reuters,"Fri, May 21, 2021, 8:30 PM",84_article.txt,\yahoo_finance_news\84_article.txt
84,UPDATE 1-Swipe right! White House partners with dating apps to encourage vaccination,Reuters,"Fri, May 21, 2021, 8:07 PM",85_article.txt,\yahoo_finance_news\85_article.txt
85,UPDATE 2-Air India says February's data breach affected 4.5 mln passengers,Reuters,"Fri, May 21, 2021, 8:04 PM",86_article.txt,\yahoo_finance_news\86_article.txt
86,"UPDATE 1-Brazil govt cuts 2021 budget deficit forecast to $35 bln, GDP growth boosts tax take",Reuters,"Fri, May 21, 2021, 7:45 PM",87_article.txt,\yahoo_finance_news\87_article.txt
87,Analysis: Retail investors learn to love the crypto rollercoaster,Reuters,"Fri, May 21, 2021, 7:43 PM",88_article.txt,\yahoo_finance_news\88_article.txt
88,"Municipal Market Sales Slacken, Raising Supply Alarms",Bloomberg,"Fri, May 21, 2021, 7:34 PM",89_article.txt,\yahoo_finance_news\89_article.txt
89,"Fed officials, new data, start lowering expectations for U.S. jobs in May",Reuters,"Fri, May 21, 2021, 7:31 PM",90_article.txt,\yahoo_finance_news\90_article.txt
90,This week in Bideonomics: Biden’s best revenue idea,Yahoo Finance,"Fri, May 21, 2021, 7:29 PM",91_article.txt,\yahoo_finance_news\91_article.txt
91,"M&S profit seen crashing 90% in ""lost year"" of pandemic",Reuters,"Fri, May 21, 2021, 7:29 PM",92_article.txt,\yahoo_finance_news\92_article.txt
92,"Quake in Yunnan, China, kills two - CGTN TV",Reuters,"Fri, May 21, 2021, 7:26 PM",93_article.txt,\yahoo_finance_news\93_article.txt
93,IMF Sees Approval of $650 Billion in Reserves by End of August,Bloomberg,"Fri, May 21, 2021, 7:24 PM",94_article.txt,\yahoo_finance_news\94_article.txt
94,"K.C. Southern Agrees to $30 Billion CN Rail Deal, Jilting CP",Bloomberg,"Fri, May 21, 2021, 7:23 PM",95_article.txt,\yahoo_finance_news\95_article.txt
95,UPDATE 1-Elon Musk says Tesla eyeing Russia as a potential production hub,Reuters,"Fri, May 21, 2021, 7:22 PM",96_article.txt,\yahoo_finance_news\96_article.txt
96,Harker Joins Those at Fed Eager to Begin Tapering Discussion,Bloomberg,"Fri, May 21, 2021, 7:21 PM",97_article.txt,\yahoo_finance_news\97_article.txt
97,GoodRx CEO dismisses Amazon threat: Customers 'love to talk to a person in a white coat',Yahoo Finance,"Fri, May 21, 2021, 7:18 PM",98_article.txt,\yahoo_finance_news\98_article.txt
98,India asks social media firms to remove reference to 'Indian variant' of coronavirus,Reuters,"Fri, May 21, 2021, 7:18 PM",99_article.txt,\yahoo_finance_news\99_article.txt
99,Inflation Bets Mount on Fear Brazil Won’t Hike Rates Enough,Bloomberg,"Fri, May 21, 2021, 7:17 PM",100_article.txt,\yahoo_finance_news\100_article.txt
100,BMO investment arm sold Microsoft over U.S. Army headset deal,Reuters,"Fri, May 21, 2021, 7:12 PM",101_article.txt,\yahoo_finance_news\101_article.txt
101,UPDATE 2-Fed's Harker says important to talk about tapering sooner rather than later,Reuters,"Fri, May 21, 2021, 7:12 PM",102_article.txt,\yahoo_finance_news\102_article.txt
102,Tech group Solutions 30 considers delisting in spat with accountants,Reuters,"Fri, May 21, 2021, 7:04 PM",103_article.txt,\yahoo_finance_news\103_article.txt
103,GM-Backed Wejo Is in SPAC Merger Talks With Virtuoso,Bloomberg,"Fri, May 21, 2021, 7:02 PM",104_article.txt,\yahoo_finance_news\104_article.txt
104,Factbox-Five things to know about Epic's epic legal fight with Apple,Reuters,"Fri, May 21, 2021, 7:01 PM",105_article.txt,\yahoo_finance_news\105_article.txt
105,UPDATE 2-Kentucky securities regulator opens inquiry into Danimer Scientific,Reuters,"Fri, May 21, 2021, 6:46 PM",106_article.txt,\yahoo_finance_news\106_article.txt
106,"Norwegian Air raises fresh capital, set to exit restructuring",Reuters,"Fri, May 21, 2021, 6:42 PM",107_article.txt,\yahoo_finance_news\107_article.txt
107,UPDATE 2-Canada extends ban on India flights; Manitoba asks Trudeau for help,Reuters,"Fri, May 21, 2021, 6:35 PM",108_article.txt,\yahoo_finance_news\108_article.txt
108,UPDATE 1-Coca Cola in EU antitrust regulators' crosshairs,Reuters,"Fri, May 21, 2021, 6:33 PM",109_article.txt,\yahoo_finance_news\109_article.txt
109,"UPDATE 1-Enbridge, Fluxys, EIG bid for Brazil's top natgas import pipeline, sources say",Reuters,"Fri, May 21, 2021, 6:32 PM",110_article.txt,\yahoo_finance_news\110_article.txt
110,Retail Traders Are Now Parking Their Cash in Boring Stock ETFs,Bloomberg,"Fri, May 21, 2021, 6:31 PM",111_article.txt,\yahoo_finance_news\111_article.txt
111,‘The Large LBO Is Back’: Goldman Sees Return of Mega Deals,Bloomberg,"Fri, May 21, 2021, 6:22 PM",112_article.txt,\yahoo_finance_news\112_article.txt
112,Colombia Risks More Downgrades and Forced Selling of Its Bonds,Bloomberg,"Fri, May 21, 2021, 6:21 PM",113_article.txt,\yahoo_finance_news\113_article.txt
113,Colombia bars travelers from India over coronavirus variant,Reuters,"Fri, May 21, 2021, 6:19 PM",114_article.txt,\yahoo_finance_news\114_article.txt
114,"How Shake Shack, McDonald's and others are lending a hand to the COVID vaccine push",Yahoo Finance,"Fri, May 21, 2021, 6:18 PM",115_article.txt,\yahoo_finance_news\115_article.txt
115,Archegos Fiasco Spurs Regulators to Demand Banks’ Answers Soon,Bloomberg,"Fri, May 21, 2021, 6:18 PM",116_article.txt,\yahoo_finance_news\116_article.txt
116,Foot Locker to close Footaction stores after colossal Q1 earnings,Yahoo Finance,"Fri, May 21, 2021, 6:18 PM",117_article.txt,\yahoo_finance_news\117_article.txt
117,"UPDATE 1-China vows to crack down on bitcoin mining, trading activities",Reuters,"Fri, May 21, 2021, 6:17 PM",118_article.txt,\yahoo_finance_news\118_article.txt
118,Cryptocurrency price crash reminds traders of one harsh truth: strategist,Yahoo Finance,"Fri, May 21, 2021, 6:14 PM",119_article.txt,\yahoo_finance_news\119_article.txt
119,Coca Cola in EU antitrust regulators' crosshairs,Reuters,"Fri, May 21, 2021, 6:13 PM",120_article.txt,\yahoo_finance_news\120_article.txt
120,"China must set out near-term policies to reach climate goals, says UK's Sharma",Reuters,"Fri, May 21, 2021, 6:10 PM",121_article.txt,\yahoo_finance_news\121_article.txt
121,Swipe right! White House partners with dating apps to encourage vaccination,Reuters,"Fri, May 21, 2021, 6:10 PM",122_article.txt,\yahoo_finance_news\122_article.txt
122,"US STOCKS-S&P 500, Dow extend recovery after strong U.S. business surveys",Reuters,"Fri, May 21, 2021, 6:09 PM",123_article.txt,\yahoo_finance_news\123_article.txt
123,UPDATE 1-Roughly half of Halliburton's shareholders vote against executive compensation plan,Reuters,"Fri, May 21, 2021, 6:05 PM",124_article.txt,\yahoo_finance_news\124_article.txt
124,EU antitrust regulators say investigating Coca Cola,Reuters,"Fri, May 21, 2021, 6:04 PM",125_article.txt,\yahoo_finance_news\125_article.txt
125,White House partners with dating apps in hopes users swipe right on vaccinations,Reuters,"Fri, May 21, 2021, 6:02 PM",126_article.txt,\yahoo_finance_news\126_article.txt
126,"G20 nations should join G7 countries with climate pledges, says U.S.",Reuters,"Fri, May 21, 2021, 5:46 PM",127_article.txt,\yahoo_finance_news\127_article.txt
127,Stringer Takes NYC Mayoral Campaign to Ken Griffin and Dan Loeb’s Steps,Bloomberg,"Fri, May 21, 2021, 5:41 PM",128_article.txt,\yahoo_finance_news\128_article.txt
